Name,Winrate,KDA,Rank,Image,RImg
Udyr,49.47,1.88,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Udyr.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Viktor,49.4,1.94,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Viktor.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kog'Maw,49.39,1.94,Iron,"https://opgg-static.akamaized.net/images/lol/champion/KogMaw.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Mordekaiser,49.33,1.72,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Mordekaiser.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Seraphine,49.31,2.24,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Seraphine.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Tristana,49.29,1.91,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Tristana.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Sona,49.28,2.59,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Sona.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Pyke,49.25,2.01,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Pyke.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Senna,49.23,2.33,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Senna.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Zilean,49.22,2.29,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Zilean.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Akshan,49.19,1.85,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Akshan.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Cassiopeia,49.16,1.86,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Cassiopeia.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Lissandra,49.16,1.92,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Lissandra.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Hecarim,49.04,2.35,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Hecarim.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Jhin,49.03,2.36,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Jhin.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kai'Sa,49.02,2.02,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kaisa.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kayn,48.9,1.87,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kayn.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Annie,48.86,1.91,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Annie.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Quinn,48.84,1.68,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Quinn.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Irelia,48.78,1.63,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Irelia.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Alistar,48.73,2.06,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Alistar.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Vayne,48.66,1.7,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Vayne.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Lucian,48.61,1.94,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Lucian.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Akali,48.59,1.99,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Akali.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Jax,48.52,1.57,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Jax.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kassadin,48.41,1.95,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kassadin.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
